instance,integrator,budget_s,seed,best_length,hk_bound,gap_pct,wall_time_s
1,lkh,1.0,1,82837,82830,0.008451044307618014,0.059018
1,lkh,1.0,2,82837,82830,0.008451044307618014,0.042065
1,lkh,1.0,3,82837,82830,0.008451044307618014,0.045965
1,lkh,1.0,4,82837,82830,0.008451044307618014,0.039967
1,lkh,1.0,5,82837,82830,0.008451044307618014,0.043816
1,lkh,1.0,6,82837,82830,0.008451044307618014,0.042613
1,lkh,1.0,7,82837,82830,0.008451044307618014,0.048405
1,lkh,1.0,8,82837,82830,0.008451044307618014,0.043182
1,lkh,1.0,9,82837,82830,0.008451044307618014,0.044077
1,lkh,1.0,10,82837,82830,0.008451044307618014,0.038498
1,lkh,1.0,11,82837,82830,0.008451044307618014,0.043465
1,lkh,1.0,12,82837,82830,0.008451044307618014,0.043357
1,lkh,1.0,13,82837,82830,0.008451044307618014,0.042102
1,lkh,1.0,14,82837,82830,0.008451044307618014,0.046997
1,lkh,1.0,15,82837,82830,0.008451044307618014,0.047318
1,lkh,1.0,16,82837,82830,0.008451044307618014,0.064905
1,lkh,1.0,17,82837,82830,0.008451044307618014,0.050334
1,lkh,1.0,18,82837,82830,0.008451044307618014,0.046878
1,lkh,1.0,19,82837,82830,0.008451044307618014,0.047262
1,lkh,1.0,20,82837,82830,0.008451044307618014,0.052083
1,lkh,1.0,21,82837,82830,0.008451044307618014,0.055747
1,lkh,1.0,22,82837,82830,0.008451044307618014,0.045133
1,lkh,1.0,23,82837,82830,0.008451044307618014,0.040213
1,lkh,1.0,24,82837,82830,0.008451044307618014,0.042740
1,lkh,1.0,25,82837,82830,0.008451044307618014,0.057158
1,lkh,1.0,26,82837,82830,0.008451044307618014,0.047085
1,lkh,1.0,27,82837,82830,0.008451044307618014,0.063079
1,lkh,1.0,28,82837,82830,0.008451044307618014,0.056845
1,lkh,1.0,29,82837,82830,0.008451044307618014,0.045168
1,lkh,1.0,30,82837,82830,0.008451044307618014,0.044668
1,lkh,30.0,1,82837,82830,0.008451044307618014,0.050134
1,lkh,30.0,2,82837,82830,0.008451044307618014,0.050021
1,lkh,30.0,3,82837,82830,0.008451044307618014,0.053586
1,lkh,30.0,4,82837,82830,0.008451044307618014,0.044041
1,lkh,30.0,5,82837,82830,0.008451044307618014,0.049053
1,lkh,30.0,6,82837,82830,0.008451044307618014,0.061931
1,lkh,30.0,7,82837,82830,0.008451044307618014,0.054858
1,lkh,30.0,8,82837,82830,0.008451044307618014,0.048474
1,lkh,30.0,9,82837,82830,0.008451044307618014,0.049355
1,lkh,30.0,10,82837,82830,0.008451044307618014,0.043201
1,lkh,30.0,11,82837,82830,0.008451044307618014,0.045784
1,lkh,30.0,12,82837,82830,0.008451044307618014,0.043614
1,lkh,30.0,13,82837,82830,0.008451044307618014,0.044505
1,lkh,30.0,14,82837,82830,0.008451044307618014,0.045420
1,lkh,30.0,15,82837,82830,0.008451044307618014,0.042069
1,lkh,30.0,16,82837,82830,0.008451044307618014,0.051448
1,lkh,30.0,17,82837,82830,0.008451044307618014,0.049656
1,lkh,30.0,18,82837,82830,0.008451044307618014,0.045406
1,lkh,30.0,19,82837,82830,0.008451044307618014,0.046235
1,lkh,30.0,20,82837,82830,0.008451044307618014,0.048773
1,lkh,30.0,21,82837,82830,0.008451044307618014,0.064524
1,lkh,30.0,22,82837,82830,0.008451044307618014,0.045979
1,lkh,30.0,23,82837,82830,0.008451044307618014,0.040735
1,lkh,30.0,24,82837,82830,0.008451044307618014,0.044715
1,lkh,30.0,25,82837,82830,0.008451044307618014,0.050637
1,lkh,30.0,26,82837,82830,0.008451044307618014,0.041520
1,lkh,30.0,27,82837,82830,0.008451044307618014,0.056645
1,lkh,30.0,28,82837,82830,0.008451044307618014,0.050580
1,lkh,30.0,29,82837,82830,0.008451044307618014,0.041532
1,lkh,30.0,30,82837,82830,0.008451044307618014,0.038514
1,lkh,300.0,1,82837,82830,0.008451044307618014,0.044381
1,lkh,300.0,2,82837,82830,0.008451044307618014,0.047059
1,lkh,300.0,3,82837,82830,0.008451044307618014,0.050796
1,lkh,300.0,4,82837,82830,0.008451044307618014,0.039109
1,lkh,300.0,5,82837,82830,0.008451044307618014,0.045212
1,lkh,300.0,6,82837,82830,0.008451044307618014,0.039505
1,lkh,300.0,7,82837,82830,0.008451044307618014,0.047342
1,lkh,300.0,8,82837,82830,0.008451044307618014,0.042443
1,lkh,300.0,9,82837,82830,0.008451044307618014,0.044124
1,lkh,300.0,10,82837,82830,0.008451044307618014,0.039615
1,lkh,300.0,11,82837,82830,0.008451044307618014,0.045246
1,lkh,300.0,12,82837,82830,0.008451044307618014,0.042396
1,lkh,300.0,13,82837,82830,0.008451044307618014,0.040143
1,lkh,300.0,14,82837,82830,0.008451044307618014,0.039338
1,lkh,300.0,15,82837,82830,0.008451044307618014,0.040638
1,lkh,300.0,16,82837,82830,0.008451044307618014,0.047281
1,lkh,300.0,17,82837,82830,0.008451044307618014,0.047902
1,lkh,300.0,18,82837,82830,0.008451044307618014,0.042065
1,lkh,300.0,19,82837,82830,0.008451044307618014,0.043720
1,lkh,300.0,20,82837,82830,0.008451044307618014,0.049813
1,lkh,300.0,21,82837,82830,0.008451044307618014,0.051223
1,lkh,300.0,22,82837,82830,0.008451044307618014,0.042986
1,lkh,300.0,23,82837,82830,0.008451044307618014,0.036927
1,lkh,300.0,24,82837,82830,0.008451044307618014,0.039708
1,lkh,300.0,25,82837,82830,0.008451044307618014,0.051570
1,lkh,300.0,26,82837,82830,0.008451044307618014,0.041129
1,lkh,300.0,27,82837,82830,0.008451044307618014,0.054585
1,lkh,300.0,28,82837,82830,0.008451044307618014,0.049684
1,lkh,300.0,29,82837,82830,0.008451044307618014,0.038818
1,lkh,300.0,30,82837,82830,0.008451044307618014,0.038358
1,EdgeRand,1.0,1,563874,82830,580.7605939876856,0.000526
1,EdgeRand,1.0,2,527434,82830,536.7668719063141,0.000406
1,EdgeRand,1.0,3,552945,82830,567.566099239406,0.000324
1,EdgeRand,1.0,4,513807,82830,520.3151032234698,0.000251
1,EdgeRand,1.0,5,534793,82830,545.6513340577086,0.000250
1,EdgeRand,1.0,6,543344,82830,555.974888325486,0.000248
1,EdgeRand,1.0,7,519092,82830,526.6956416757213,0.000289
1,EdgeRand,1.0,8,534350,82830,545.1165036822407,0.000246
1,EdgeRand,1.0,9,560645,82830,576.8622479777858,0.000246
1,EdgeRand,1.0,10,522867,82830,531.2531691416153,0.000303
