instance,integrator_a,integrator_b,n_samples,p_value,effect_size_cliffs_delta,ci_95_lower,ci_95_upper,protocol_compliant
1_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
1_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
1_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
10_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
10_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
10_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
11_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
11_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
11_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
12_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
12_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
12_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
13_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1.862645149230957e-09,1.0,-455356.00249999994,-440640.88583333336,True
13_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1.862645149230957e-09,1.0,-455410.53500000003,-440616.1433333333,True
13_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1.862645149230957e-09,1.0,-455155.3825,-440599.3016666667,True
14_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
14_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
14_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
15_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
15_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
15_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
16_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
16_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
16_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
17_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
17_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
17_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
18_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
18_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
18_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
19_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
19_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
19_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
2_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
2_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
2_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
20_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
20_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
20_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
21_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
21_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
21_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
22_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1.862645149230957e-09,1.0,-455178.04416666663,-442127.3666666667,True
22_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1.862645149230957e-09,1.0,-455211.0575,-442356.83083333337,True
22_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1.862645149230957e-09,1.0,-455033.55666666664,-442266.0408333334,True
23_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
23_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
23_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
24_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
24_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
24_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
25_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
25_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
25_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
26_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
26_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
26_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1e-15,1.0,0.0,0.0,True
27_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1.862645149230957e-09,1.0,-448205.86,-436246.2625,True
27_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1.862645149230957e-09,1.0,-448317.1633333334,-436203.6775,True
27_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1.862645149230957e-09,1.0,-448135.7183333334,-436082.64333333337,True
28_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1.862645149230957e-09,1.0,-460829.50750000007,-443540.2158333333,True
28_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1.862645149230957e-09,1.0,-460847.315,-443411.3816666667,True
28_lkh_vs_EdgeRand,lkh_300.0s,EdgeRand_300.0s,30,1.862645149230957e-09,1.0,-460663.6358333333,-443558.3483333333,True
29_lkh_vs_EdgeRand,lkh_1.0s,EdgeRand_1.0s,30,1e-15,1.0,0.0,0.0,True
29_lkh_vs_EdgeRand,lkh_30.0s,EdgeRand_30.0s,30,1e-15,1.0,0.0,0.0,True
