instance,integrator,budget_s,seed,best_length,hk_bound,gap_pct,wall_time_s,machine_info,deviations,n_nodes,normalized_time
eil51,lkh,1.0,1,426,426,0.0,0.028215433994773775,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00014070914010389524
eil51,lkh,1.0,2,426,426,0.0,0.029756518997601233,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00014839446387438998
eil51,lkh,1.0,3,426,426,0.0,0.02151037400471978,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.0001072712980448192
eil51,lkh,1.0,4,426,426,0.0,0.020519974001217633,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010233221637492554
eil51,lkh,1.0,5,426,426,0.0,0.02131435500632506,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010629375983954982
eil51,lkh,1.0,6,426,426,0.0,0.020713785001134966,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010329874338798141
eil51,lkh,1.0,7,426,426,0.0,0.020414935002918355,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010180839146651536
eil51,lkh,1.0,8,426,426,0.0,0.02142151800217107,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.0001068281770311919
eil51,lkh,1.0,9,426,426,0.0,0.023658017998968717,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00011798150508030329
eil51,lkh,1.0,10,426,426,0.0,0.02072728500206722,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010336606730449218
eil51,lkh,1.0,11,426,426,0.0,0.01857713799836347,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.264337786990255e-05
eil51,lkh,1.0,12,426,426,0.0,0.017318006001005415,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,8.63641414541746e-05
eil51,lkh,1.0,13,426,426,0.0,0.021111155998369213,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010528041523940198
eil51,lkh,1.0,14,426,426,0.0,0.020186749003187288,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010067043782696285
eil51,lkh,1.0,15,426,426,0.0,0.01820122199569596,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.076870114168224e-05
eil51,lkh,1.0,16,426,426,0.0,0.01950131999910809,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.725223324488492e-05
eil51,lkh,1.0,17,426,426,0.0,0.022417093998228665,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00011179307115046332
eil51,lkh,1.0,18,426,426,0.0,0.01915534500585636,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.552687102621698e-05
eil51,lkh,1.0,19,426,426,0.0,0.0191355860006297,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.542833372796855e-05
eil51,lkh,1.0,20,426,426,0.0,0.01860325099551119,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.277360224904454e-05
eil51,lkh,1.0,21,426,426,0.0,0.019761003997700755,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.854726603252459e-05
eil51,lkh,1.0,22,426,426,0.0,0.019586317001085263,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.767610959078243e-05
eil51,lkh,1.0,23,426,426,0.0,0.021016494996729307,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010480834494820633
eil51,lkh,1.0,24,426,426,0.0,0.019670332003443036,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.809508874735959e-05
eil51,lkh,1.0,25,426,426,0.0,0.020025040001200978,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,9.986400207903966e-05
eil51,lkh,1.0,26,426,426,0.0,0.021256576997984666,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010600562342910161
eil51,lkh,1.0,27,426,426,0.0,0.02029158399818698,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010119324537980556
eil51,lkh,1.0,28,426,426,0.0,0.02633784999488853,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00013134571049492233
eil51,lkh,1.0,29,426,426,0.0,0.025774344001547433,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00012853553065572145
eil51,lkh,1.0,30,426,426,0.0,0.023375271004624665,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00011657145813760938
eil51,lkh,30.0,1,426,426,0.0,0.020377078995807096,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010161960520827885
eil51,lkh,30.0,2,426,426,0.0,0.02207398699829355,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00011008201148951888
eil51,lkh,30.0,3,426,426,0.0,0.020643103001930285,"{'cpu': 'x86_64', 'memory_gb': 15.43875503540039, 'os': 'Linux 6.14.0-35-generic', 'python': '3.12.3', 'hostname': 'leo-GS66-Stealth-10UE'}",['Zero variance across seeds (instance too small per Johnson Principle 3)'],51,0.00010294625533726574
